id,separator,character name,dialogues(different options for example),color name,color dialogue,speed dialogue,image name
0,test1 conversation,Meow,START Test dialogue id 0 ,#eb9534,#d1d1d1,0.001,n/a
1,,Meow,NEVER GONNA GIVE YOUU UPPPP,#eb9534,#d1d1d2,0.05,n/a
2,,Meow,NEVER GONNA LET YOU DOWN,#c334eb,#d1d1d3,0.1,n/a
3,,Sarade,Pene,#34eb89,#d1d1d6,0.1,n/a
4,,Sarade,I AM NOT THROWING AWAY MY SHOT,#eb9534,#d1d1d2,0.12387619,n/a
5,,Meow,I'm waving through a window,#ebd334,#d1d1d5,0.05,n/a
6,,Sarade,I try to speak but nobody can hear,#34eb89,#d1d1d6,0.1,n/a
7,,Meow,Test dialogue id ,#34e5eb,#d1d1d7,0.089933333,n/a
8,,Sarade,"¡Probando! ñ, canción, turururuuru ^^ |  ( ) @#%$*-_+=/~~``.",#34eb89,#d1d1d6,0.1,n/a
9,test1 conversation,Meow,END Test dialogue id ,#eb3499,#d1d1d8,0.101247619,n/a
10,test2 singular dialogue,Sarade,Este dialogo es único y solo se reproducirá este gracias al sistema de dialogos,#34eb89,#d1d1d6,0.1,n/a
11,test3 mostrando flexibilidad,Sarade,"Este dialogo es crea, lo guardo en el archivo, y ya es detectable por el sistema",#34eb89,#d1d1d6,0.1,n/a
12,Evan's Nightmare,Evan,Oh…,#ffffff,#ffffff,0.05,n/a
13,Evan's Nightmare,Evan,Fue solo un sueño.,#ffffff,#ffffff,0.05,n/a
14,Evan's Mirror 1,Evan,Nada interesante que ver en el espejo…,#ffffff,#ffffff,0.05,n/a
15,Evan's Mirror 2,Evan,Solo alguien que no brilla y tampoco logra sus sueños…,#ffffff,#ffffff,0.05,n/a
16,Evan's Mirror 3,Evan,¿Hay sentido en todo esto?,#ffffff,#ffffff,0.05,n/a
17,Evan's Mirror 4,Evan,¿Qué estoy haciendo con mi vida?,#ffffff,#ffffff,0.05,n/a
18,Evan Mistake Article,Evan,Esto no le gustaría a mi jefe,#ffffff,#ffffff,0.05,n/a
19,Evan Goes Home,Evan,Otro dia mintiendole a la gente…,#ffffff,#ffffff,0.05,n/a
20,Evan Goes Home,Evan,…,#ffffff,#ffffff,0.7,n/a
21,Evan Goes Home Hitbox,Evan,Es hora de volver a casa,#ffffff,#ffffff,0.05,n/a
22,Wrong Way 1,Evan,Por aquí no es…,#ffffff,#ffffff,0.05,n/a
23,Wrong Way 2,Evan,Creo que me estoy desviando,#ffffff,#ffffff,0.05,n/a
24,Wrong Way 3,Evan,Me estoy demorando mucho en llegar.,#ffffff,#ffffff,0.05,n/a
25,Wrong Way 4,Evan,No puedo perder el tiempo con desvíos,#ffffff,#ffffff,0.05,n/a
26,Wrong Way 5,Evan,Este no es el camino,#ffffff,#ffffff,0.05,n/a
27,Wrong Way 6,Evan,No debería estar buscando atajos.,#ECE280,#ffffff,0.05,n/a
28,PostWork dialogue,Evan,Debería dormir,#ECE280,#ffffff,0.05,n/a
29,MiddleEvanRoom,Evan,¿Dónde estoy?,#ECE280,#ffffff,0.05,n/a
30,MiddleEvanRoom,Evan,Es..,#ECE280,#ffffff,0.05,n/a
31,MiddleEvanRoom,Evan,Mi viejo cuarto…,#ECE280,#ffffff,0.05,n/a
32,MiddleEvanRoom,Evan,¿Qué hago aquí?,#ECE280,#ffffff,0.05,n/a
